,Year,grants,grants-in-kind,total,country
0,2013,9.3 ,0,9.3 ,nauru
1,2014,9.3 ,0,9.3 ,nauru
2,2015,3.6 ,6.6 ,10.2 ,nauru
3,2016,4.4 ,5.2 ,9.6 ,nauru
4,2017,0,9.6 ,9.6 ,nauru
5,2018,0,10.4 ,10.4 ,nauru
6,2019,6.2 ,2.8 ,9 ,nauru
7,2020,10.9 ,1.1 ,12 ,nauru
8,2021,5.2 ,5.4 ,10.6 ,nauru
9,2022,10.3 ,2.5 ,12.8 ,nauru
