,Year,country,total
0,2013,tuvalu,5.4 
1,2014,tuvalu,3.9 
2,2015,tuvalu,2.5 
3,2016,tuvalu,6.6 
4,2017,tuvalu,6.5 
5,2018,tuvalu,7 
6,2019,tuvalu,6.1 
7,2020,tuvalu,6.8 
8,2021,tuvalu,6.7 
9,2022,tuvalu,6.5 
