country,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
marshall,0,0,11,11,11,11,13,8,8,12
nauru,9.3,9.3,10.2,9.6,9.6,10.4,9,12,10.6,12.8
tuvalu,5.4,3.9,2.5,6.6,6.5,7,6.1,6.8,6.7,6.5
