,Year,grants,other,scholarship,total
0,2013,0,0,0,0.0
1,2014,0,0,0,0.0
2,2015,7.4 ,3.6 ,0,11.0
3,2016,7.4 ,3.6 ,0,11.0
4,2017,7.4 ,3.6 ,0,11.0
5,2018,7.4 ,3.6 ,0,11.0
6,2019,8 ,4 ,1 ,13.0
7,2020,8 ,0,0,8.0
8,2021,8 ,0,0,8.0
9,2022,8 ,4 ,0,12.0
